x,Q2 (GeV^2),rate (Hz),d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.175,3.29619,2.3683,5.1311,0.614245,0.563486,0.563486,5.07649,3.76788,0.00813998,0.0546115,0.0212239,0.0507594
0.185,3.5,11.5346,-0.122524,0.594058,0.548969,0.548969,-0.131541,1.54185,0.00802378,0.00901661,0.0212855,0.045089
0.195,3.5,31.5449,-0.00498842,0.579086,0.536286,0.536286,-0.014497,0.927312,0.00791959,0.00950859,0.0208741,0.0427998
0.205,3.5,60.9027,1.0486,0.564871,0.524146,0.524146,1.03353,0.664167,0.00781823,0.0150753,0.0204158,0.0407253
0.215,3.5,108.714,2.86137,0.551262,0.512509,0.512509,2.83374,0.494922,0.00771973,0.0276298,0.0199339,0.0387526
0.225,3.5,168.155,0.183923,0.538189,0.501354,0.501354,0.173702,0.396317,0.0076243,0.0102214,0.019445,0.0368352
0.235,3.6705,330.464,0.665062,0.523923,0.49006,0.49006,0.652354,0.271608,0.00753284,0.0127082,0.0192115,0.0338632
0.245,4.23453,415.383,0.669707,0.506218,0.477871,0.477871,0.657066,0.209157,0.007452,0.0126408,0.0197006,0.0283476
0.255,4.5,656.149,0.345643,0.492077,0.467149,0.467149,0.334755,0.152255,0.00737634,0.0108877,0.0198115,0.0249283
0.265,4.5,920.411,0.432222,0.481052,0.457662,0.457662,0.42096,0.128066,0.00729963,0.0112629,0.019463,0.0233899
0.275,4.5,1048.03,0.593334,0.470458,0.448478,0.448478,0.581305,0.119595,0.00722506,0.0120289,0.0191034,0.0219803
0.285,4.51176,1409.99,0.474169,0.460207,0.43957,0.43957,0.462812,0.102563,0.00715293,0.0113569,0.0187521,0.0206366
0.295,4.64848,1466.59,0.579988,0.449627,0.430634,0.430634,0.568139,0.0978684,0.00708545,0.0118484,0.0185521,0.0189926
0.305,4.79481,1960.82,0.378284,0.439344,0.421953,0.421953,0.36751,0.0821244,0.00702178,0.0107735,0.0183991,0.0173909
0.315,5.04682,2723.3,0.404022,0.428833,0.413265,0.413265,0.393161,0.066052,0.00696429,0.0108615,0.018419,0.0155688
0.325,5.25196,2736.97,0.359307,0.418924,0.404918,0.404918,0.348701,0.0627805,0.00690899,0.0106066,0.0184072,0.0140058
0.335,5.43493,3309.61,0.469285,0.409436,0.396799,0.396799,0.458175,0.0544659,0.00685564,0.0111099,0.0183818,0.0126366
0.345,5.53574,3657.92,0.357896,0.400687,0.389053,0.389053,0.347376,0.0505366,0.00680091,0.0105202,0.0182231,0.0116338
0.355,5.58762,3746.87,0.278063,0.392409,0.381564,0.381564,0.267969,0.0494165,0.00674573,0.010094,0.0179895,0.0108448
0.365,5.73712,3891.52,0.328929,0.384029,0.374072,0.374072,0.318632,0.0472614,0.00669477,0.0102965,0.0178665,0.00995705
0.375,5.85295,4143.31,0.352801,0.375963,0.36679,0.36679,0.342429,0.0448424,0.00664494,0.0103715,0.0177267,0.00917285
0.385,6.01826,3687.6,0.379954,0.367923,0.359544,0.359544,0.369485,0.0461079,0.0065983,0.0104689,0.0176562,0.00837919
0.395,6.11048,4283.37,0.34819,0.360285,0.352543,0.352543,0.33791,0.0419869,0.00655088,0.01028,0.0175133,0.00774133
0.405,6.26265,4131.63,0.363801,0.352647,0.345565,0.345565,0.353484,0.0414936,0.00650675,0.0103167,0.0174454,0.00708208
0.415,6.42234,4043.18,0.284937,0.345194,0.338693,0.338693,0.275022,0.0408324,0.00646314,0.00991507,0.0173636,0.00650137
0.425,6.56964,3988.25,0.314677,0.337914,0.331956,0.331956,0.304656,0.0399777,0.00642094,0.0100207,0.017291,0.00595763
0.435,6.69495,4212.4,0.358465,0.330822,0.325328,0.325328,0.348271,0.0380059,0.00637881,0.0101942,0.0171939,0.00549332
0.445,6.80547,3999.52,0.339433,0.323888,0.318807,0.318807,0.329363,0.0382282,0.00633703,0.01007,0.0170834,0.00508096
0.455,6.88302,3892.75,0.309681,0.317153,0.312432,0.312432,0.299784,0.0382412,0.00629494,0.00989684,0.0169388,0.00472061
0.465,6.97434,3684.26,0.30953,0.310492,0.306108,0.306108,0.299668,0.038706,0.00625415,0.00986156,0.0168136,0.00438419
0.475,7.0565,3604.95,0.28531,0.303945,0.299866,0.299866,0.275592,0.0385884,0.00621375,0.00971789,0.0166817,0.00407929
0.485,7.20192,3287.82,0.312225,0.297417,0.293662,0.293662,0.302413,0.039565,0.00617586,0.00981176,0.0166041,0.00375514
0.495,7.29172,3224.18,0.302522,0.291068,0.287577,0.287577,0.29278,0.0394093,0.00613706,0.00974206,0.0164816,0.00349098
0.505,7.44675,3010.47,0.355216,0.284712,0.281498,0.281498,0.345271,0.0398379,0.00610121,0.00994439,0.016427,0.00321429
0.515,7.59787,2924.78,0.190883,0.278448,0.275498,0.275498,0.181699,0.039476,0.006066,0.00918415,0.0163739,0.0029505
0.525,7.70472,2534.8,0.339382,0.272439,0.269707,0.269707,0.329567,0.0416892,0.00603054,0.00981444,0.0162826,0.00273216
0.535,7.76363,2634.97,0.291593,0.266585,0.264031,0.264031,0.282026,0.0404491,0.00599426,0.00956776,0.0161523,0.00255447
0.545,7.87658,2388.06,0.304626,0.260544,0.258187,0.258187,0.295029,0.0417089,0.00595922,0.00959741,0.0160719,0.00235673
0.555,7.97452,2291.07,0.25789,0.254474,0.252307,0.252307,0.248529,0.0419263,0.00592329,0.00936139,0.0159726,0.00216689
0.565,8.1141,2088.79,0.195075,0.248737,0.246739,0.246739,0.186014,0.0430805,0.00589071,0.00906115,0.0159093,0.00199761
0.575,8.22009,1972.8,0.293141,0.243037,0.241194,0.241194,0.283679,0.0437007,0.00585728,0.00946223,0.0158207,0.00184316
0.585,8.31095,1822.31,0.255497,0.237427,0.235726,0.235726,0.246226,0.0449057,0.00582398,0.00927039,0.015723,0.00170178
0.595,8.37113,1673.71,0.25873,0.231914,0.23034,0.23034,0.249472,0.0464134,0.00579038,0.00925844,0.0156059,0.00157405
0.605,8.47012,1654.26,0.194292,0.226449,0.225002,0.225002,0.185345,0.0460758,0.00575843,0.00894763,0.0155196,0.00144651
0.615,8.54045,1417.27,0.248694,0.22108,0.219749,0.219749,0.23954,0.0492906,0.00572616,0.00915405,0.0154135,0.00133148
0.625,8.62159,1280.87,0.21163,0.215783,0.214562,0.214562,0.202662,0.0512106,0.00569495,0.00896813,0.015322,0.00122089
0.635,8.66883,1206.98,0.270382,0.210583,0.209462,0.209462,0.26119,0.0523649,0.00566303,0.00919176,0.015202,0.0011217
0.645,8.85531,1148.83,0.209833,0.205381,0.204371,0.204371,0.200921,0.0524696,0.00563587,0.0089118,0.0151898,0.00101075
0.655,8.91483,1026.47,0.244089,0.200342,0.19942,0.19942,0.235057,0.0550818,0.00560542,0.00903185,0.0150824,0.000922437
0.665,9.05478,919.257,0.182464,0.19534,0.194509,0.194509,0.173711,0.0571576,0.00557809,0.00875302,0.0150408,0.000830541
0.675,9.14469,830.379,0.21855,0.190441,0.189692,0.189692,0.209672,0.0593827,0.00554979,0.00887745,0.0149641,0.000749044
0.685,9.17274,763.911,0.128894,0.185669,0.184991,0.184991,0.120394,0.0616187,0.00552018,0.00849941,0.0148423,0.000678247
0.695,9.29735,710.694,0.0913883,0.180938,0.180334,0.180334,0.0830838,0.0627874,0.00549419,0.00830448,0.0147968,0.000604135
0.705,9.35576,622.773,0.255756,0.176316,0.175777,0.175777,0.246761,0.0664395,0.0054667,0.00899411,0.0147041,0.000539138
0.715,9.48215,573.029,0.310786,0.171784,0.171308,0.171308,0.301607,0.0682178,0.00544181,0.00917871,0.0146593,0.000475642
0.725,9.58165,461.497,0.000763136,0.167346,0.166928,0.166928,-0.00711542,0.0751057,0.00541663,0.00787856,0.0145962,0.000417768
0.735,9.8835,354.728,0.146547,0.162939,0.162584,0.162584,0.138093,0.0826729,0.00539811,0.00845408,0.0146787,0.000355839
0.745,10.1668,230.833,0.164498,0.158678,0.158376,0.158376,0.155954,0.0990674,0.00537969,0.00854393,0.0147463,0.000301762
0.755,10.5234,159.453,0.17554,0.154481,0.15423,0.15423,0.166974,0.114713,0.00536342,0.00856599,0.0148539,0.000250741
0.765,10.8784,97.6025,0.122655,0.150436,0.15023,0.15023,0.114316,0.140955,0.00534789,0.00833816,0.01496,0.000206452
0.775,11.2633,60.1227,-0.066414,0.146492,0.146325,0.146325,-0.0739967,0.172822,0.00533313,0.00758274,0.0150711,0.000166854
0.785,11.5,20.6485,0.536266,0.14269,0.142555,0.142555,0.526212,0.2875,0.00531527,0.0100546,0.0150958,0.00013468
0.795,11.5,0.6123,-0.817918,0.139092,0.138982,0.138982,-0.822856,1.6675,0.00529219,0.00493791,0.0149802,0.00011017
